,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
85,78.0,Azerbaijan,824232,39.0,9976.0,,813942.0,,314.0,,80021.0,969.0,7369434.0,715465.0,10300205.0,Asia,12.0,1032.0,1.0,4.0,,30.0
86,79.0,Paraguay,718164,,19621.0,,698317.0,,226.0,7.0,98300.0,2686.0,2657506.0,363751.0,7305843.0,South America,10.0,372.0,3.0,,,31.0
87,80.0,Bahrain,695914,148.0,1536.0,,693291.0,227.0,1087.0,1.0,390090.0,861.0,10563721.0,5921425.0,1783983.0,Asia,3.0,1161.0,0.0,83.0,,609.0
88,81.0,Sri Lanka,671642,4.0,16800.0,,654791.0,3.0,51.0,,31129.0,779.0,6486117.0,300619.0,21575842.0,Asia,32.0,1284.0,3.0,0.2,,2.0
89,82.0,Kuwait,662672,,2570.0,,659992.0,,110.0,,151284.0,587.0,8441451.0,1927128.0,4380326.0,Asia,7.0,1704.0,1.0,,,25.0
90,83.0,Dominican Republic,649834,684.0,4384.0,,643679.0,6.0,1771.0,4.0,58775.0,397.0,3735061.0,337820.0,11056370.0,North America,17.0,2522.0,3.0,62.0,,160.0
91,84.0,Myanmar,633167,10.0,19488.0,,607681.0,66.0,5998.0,,11465.0,353.0,9641006.0,174570.0,55227143.0,Asia,87.0,2834.0,6.0,0.2,,109.0
92,85.0,Palestine,620816,,5404.0,,614962.0,,450.0,17.0,116137.0,1011.0,3078533.0,575907.0,5345541.0,Asia,9.0,989.0,2.0,,,84.0
93,86.0,Cyprus,614237,,1226.0,,601436.0,,11575.0,60.0,502079.0,1002.0,9640118.0,7879860.0,1223387.0,Asia,2.0,998.0,0.0,,,9461.0
94,87.0,Estonia,608759,,2781.0,,524990.0,,80988.0,3.0,460515.0,2104.0,3600319.0,2723573.0,1321910.0,Europe,2.0,475.0,0.0,,,61266.0
95,88.0,Moldova,594754,,11913.0,,504142.0,,78699.0,49.0,148201.0,2968.0,3216305.0,801437.0,4013171.0,Europe,7.0,337.0,1.0,,,19610.0
