,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
8,1.0,China,365312,2240.0,5235.0,,322109.0,3663.0,37968.0,141.0,252.0,4.0,160000000.0,110461.0,1448471400.0,Asia,3965.0,276690.0,9.0,2.0,,26.0
9,2.0,USA,101369163,20032.0,1109983.0,90.0,98608503.0,39186.0,1650677.0,3801.0,302771.0,3315.0,1145374855.0,3421018.0,334805269.0,North America,3.0,302.0,0.0,60.0,0.3,4930.0
10,3.0,India,44676246,172.0,530658.0,,44140417.0,,5171.0,698.0,31761.0,377.0,908416385.0,645810.0,1406631776.0,Asia,31.0,2651.0,2.0,0.1,,4.0
11,4.0,France,38515721,10878.0,159870.0,167.0,37283243.0,64680.0,1072608.0,869.0,587268.0,2438.0,271490188.0,4139547.0,65584518.0,Europe,2.0,410.0,0.0,166.0,3.0,16355.0
12,5.0,Germany,36758926,,158966.0,,36097800.0,37700.0,502160.0,1406.0,438214.0,1895.0,122332384.0,1458359.0,83883596.0,Europe,2.0,528.0,1.0,,,5986.0
13,6.0,Brazil,35659520,43930.0,691021.0,75.0,34436602.0,81713.0,531897.0,8318.0,165586.0,3209.0,63776166.0,296146.0,215353593.0,South America,6.0,312.0,3.0,204.0,0.3,2470.0
14,7.0,S. Korea,27754149,25667.0,31099.0,30.0,26753073.0,59049.0,969977.0,478.0,540701.0,606.0,15804065.0,307892.0,51329899.0,Asia,2.0,1651.0,3.0,500.0,0.6,18897.0
15,8.0,Japan,26132159,62336.0,51829.0,127.0,20848373.0,9594.0,5231957.0,409.0,208084.0,413.0,83692489.0,666422.0,125584838.0,Asia,5.0,2423.0,2.0,496.0,1.0,41661.0
16,9.0,Italy,24709404,,182419.0,,24003910.0,,523075.0,335.0,410028.0,3027.0,259639054.0,4308449.0,60262770.0,Europe,2.0,330.0,0.0,,,8680.0
17,10.0,UK,24053576,,197723.0,,23777405.0,3916.0,78448.0,146.0,351158.0,2887.0,522526476.0,7628357.0,68497907.0,Europe,3.0,346.0,0.0,,,1145.0
18,11.0,Russia,21671528,6376.0,392661.0,50.0,21066616.0,5032.0,212251.0,2300.0,148633.0,2693.0,273400000.0,1875095.0,145805947.0,Europe,7.0,371.0,1.0,44.0,0.3,1456.0
19,12.0,Turkey,17042722,,101492.0,,,,,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,5.0,843.0,1.0,,,1819.0
20,13.0,Spain,13632635,,116422.0,,13422605.0,,93608.0,339.0,291800.0,2492.0,471036328.0,10082298.0,46719142.0,Europe,3.0,401.0,0.0,,,2004.0
21,14.0,Vietnam,11521022,383.0,43178.0,,10609677.0,56.0,868167.0,59.0,116429.0,436.0,85826548.0,867342.0,98953541.0,Asia,9.0,2292.0,1.0,4.0,,8773.0
22,15.0,Australia,10862500,2873.0,16462.0,,10546102.0,,299936.0,89.0,416686.0,631.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,2.0,1584.0,0.0,110.0,,11506.0
23,16.0,Argentina,9766975,,130041.0,,9591677.0,,45257.0,248.0,212278.0,2826.0,35716069.0,776264.0,46010234.0,South America,5.0,354.0,1.0,,,984.0
24,17.0,Netherlands,8550311,,22936.0,,8505579.0,962.0,21796.0,33.0,496780.0,1333.0,25984435.0,1509718.0,17211447.0,Europe,2.0,750.0,1.0,,,1266.0
