,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
8,1.0,China,323686,4150.0,5233.0,,281106.0,2419.0,37347.0,99.0,223.0,4.0,160000000.0,110461.0,1448471400.0,Asia,4475.0,276796.0,9.0,3.0,,26.0
9,2.0,USA,100743392,39827.0,1106378.0,229.0,98191251.0,64409.0,1445763.0,3451.0,300901.0,3305.0,1141344289.0,3408979.0,334805269.0,North America,3.0,303.0,0.0,119.0,0.7,4318.0
10,3.0,India,44673984,125.0,530624.0,2.0,44137617.0,368.0,5743.0,698.0,31760.0,377.0,906725359.0,644607.0,1406631776.0,Asia,31.0,2651.0,2.0,0.09,,4.0
11,4.0,France,37916052,69253.0,159026.0,76.0,36935491.0,26262.0,821535.0,869.0,578125.0,2425.0,271490188.0,4139547.0,65584518.0,Europe,2.0,412.0,0.0,1056.0,1.0,12526.0
12,5.0,Germany,36530020,30420.0,158109.0,166.0,35821900.0,37600.0,550011.0,1406.0,435485.0,1885.0,122332384.0,1458359.0,83883596.0,Europe,2.0,531.0,1.0,363.0,2.0,6557.0
13,6.0,Brazil,35336482,31767.0,689998.0,145.0,34257388.0,21521.0,389096.0,8318.0,164086.0,3204.0,63776166.0,296146.0,215353593.0,South America,6.0,312.0,3.0,148.0,0.7,1807.0
14,7.0,S. Korea,27155813,57079.0,30568.0,62.0,26163723.0,48413.0,961522.0,430.0,529045.0,596.0,15804065.0,307892.0,51329899.0,Asia,2.0,1679.0,3.0,1112.0,1.0,18732.0
15,8.0,Japan,24911367,118201.0,49826.0,182.0,20713863.0,14326.0,4147678.0,339.0,198363.0,397.0,81441509.0,648498.0,125584838.0,Asia,5.0,2520.0,2.0,941.0,1.0,33027.0
16,9.0,Italy,24260660,,181098.0,,23587105.0,,492457.0,250.0,402581.0,3005.0,257057363.0,4265608.0,60262770.0,Europe,2.0,333.0,0.0,,,8172.0
17,10.0,UK,24000101,,196821.0,,23741755.0,3668.0,61525.0,146.0,350377.0,2873.0,522526476.0,7628357.0,68497907.0,Europe,3.0,348.0,0.0,,,898.0
18,11.0,Russia,21597613,6785.0,392060.0,58.0,21003575.0,5865.0,201978.0,2300.0,148126.0,2689.0,273400000.0,1875095.0,145805947.0,Europe,7.0,372.0,1.0,47.0,0.4,1385.0
19,12.0,Turkey,17005537,,101400.0,,16904137.0,,0.0,,198751.0,1185.0,162743369.0,1902052.0,85561976.0,Asia,5.0,844.0,1.0,,,
20,13.0,Spain,13595504,,115901.0,,13382293.0,,97310.0,339.0,291005.0,2481.0,471036328.0,10082298.0,46719142.0,Europe,3.0,403.0,0.0,,,2083.0
21,14.0,Vietnam,11516489,581.0,43176.0,1.0,10608577.0,89.0,864736.0,45.0,116383.0,436.0,85826548.0,867342.0,98953541.0,Asia,9.0,2292.0,1.0,6.0,0.01,8739.0
22,15.0,Australia,10725239,14741.0,16187.0,16.0,10546102.0,,162950.0,87.0,411421.0,621.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,2.0,1610.0,0.0,565.0,0.6,6251.0
23,16.0,Argentina,9727247,,130025.0,,9590207.0,,7015.0,241.0,211415.0,2826.0,35716069.0,776264.0,46010234.0,South America,5.0,354.0,1.0,,,152.0
24,17.0,Netherlands,8541997,,22909.0,,8492785.0,1101.0,26303.0,34.0,496297.0,1331.0,25984435.0,1509718.0,17211447.0,Europe,2.0,751.0,1.0,,,1528.0
25,18.0,Taiwan,8329000,15643.0,14387.0,53.0,7982140.0,20253.0,332473.0,,348660.0,602.0,28559590.0,1195532.0,23888595.0,Asia,3.0,1660.0,1.0,655.0,2.0,13918.0
26,19.0,Iran,7559737,31.0,144634.0,1.0,7335207.0,29.0,79896.0,75.0,87881.0,1681.0,54420785.0,632632.0,86022837.0,Asia,11.0,595.0,2.0,0.4,0.01,929.0
27,20.0,Mexico,7132792,,330525.0,,6400759.0,,401508.0,4798.0,54216.0,2512.0,18757827.0,142577.0,131562772.0,North America,18.0,398.0,7.0,,,3052.0
28,21.0,Indonesia,6669821,4977.0,159884.0,54.0,6452237.0,6499.0,57700.0,2771.0,23895.0,573.0,112623786.0,403475.0,279134505.0,Asia,42.0,1746.0,2.0,18.0,0.2,207.0
29,22.0,Poland,6353308,553.0,118328.0,9.0,5335940.0,,899040.0,1530.0,168345.0,3135.0,37802613.0,1001665.0,37739785.0,Europe,6.0,319.0,1.0,15.0,0.2,23822.0
30,23.0,Colombia,6318021,3252.0,141911.0,16.0,6142640.0,1806.0,33470.0,342.0,122650.0,2755.0,36907625.0,716475.0,51512762.0,South America,8.0,363.0,1.0,63.0,0.3,650.0
31,24.0,Austria,5566947,5092.0,21216.0,1.0,5498911.0,2931.0,46820.0,47.0,613999.0,2340.0,202723557.0,22359109.0,9066710.0,Europe,2.0,427.0,0.0,562.0,0.1,5164.0
32,25.0,Portugal,5542265,,25450.0,,5498035.0,952.0,18780.0,61.0,546544.0,2510.0,45641725.0,4500903.0,10140570.0,Europe,2.0,398.0,0.0,,,1852.0
33,26.0,Greece,5404690,,34309.0,,5310892.0,7718.0,59489.0,115.0,523881.0,3326.0,100284496.0,9720658.0,10316637.0,Europe,2.0,301.0,0.0,,,5766.0
34,27.0,Ukraine,5336293,,110505.0,,5212759.0,1045.0,13029.0,,123548.0,2558.0,32603805.0,754855.0,43192122.0,Europe,8.0,391.0,1.0,,,302.0
35,28.0,Malaysia,4994543,2375.0,36695.0,11.0,4933381.0,2857.0,24467.0,91.0,150524.0,1106.0,66463788.0,2003063.0,33181072.0,Asia,7.0,904.0,0.0,72.0,0.3,737.0
